spec,name,gaia_dr3,dr3_class,final_epoch,basis
campaigns/toi-6672-01.yaml,TOI-6672.01,1975275839061373312,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 1.2 mas, r(2000.0) 82.0 mas"
campaigns/toi-6674-01.yaml,TOI-6674.01,428410038458702720,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 1.3 mas, r(2000.0) 434.8 mas"
campaigns/toi-6675-01.yaml,TOI-6675.01,1140358282886912256,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 1.3 mas, r(2000.0) 194.9 mas"
campaigns/toi-6691-01.yaml,TOI-6691.01,4767020077694168576,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 0.4 mas, r(2000.0) 491.8 mas"
campaigns/toi-6692-01.yaml,TOI-6692.01,6349145498210403840,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 0.9 mas, r(2000.0) 696.8 mas"
campaigns/toi-6695-01.yaml,TOI-6695.01,5701679002245319296,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 0.3 mas, r(2000.0) 74.3 mas"
campaigns/toi-6698-01.yaml,TOI-6698.01,3499124806833300736,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 1.2 mas, r(2000.0) 1421.1 mas"
campaigns/toi-6890-01.yaml,TOI-6890.01,5679602531040786816,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 0.8 mas, r(2000.0) 249.4 mas"
campaigns/toi-6893-01.yaml,TOI-6893.01,2741377642494388864,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 1.0 mas, r(2000.0) 641.1 mas"
campaigns/toi-6980-01.yaml,TOI-6980.01,2516286274890560000,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 1.2 mas, r(2000.0) 1445.7 mas"
campaigns/toi-7399-01.yaml,TOI-7399.01,1633938329724999680,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 1.6 mas, r(2000.0) 396.5 mas"
campaigns/toi-7857-01.yaml,TOI-7857.01,1730371439418183680,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 2.4 mas, r(2000.0) 505.5 mas"
campaigns/toi-790-03.yaml,TOI-790.03,5277235112690260864,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 1.8 mas, r(2000.0) 837.4 mas"
campaigns/toi-941-02.yaml,TOI-941.02,3240852617846876416,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 1.2 mas, r(2000.0) 559.3 mas"
