spec,name,tic,ra_deg,dec_deg,epoch_label,position_source,tmag,query_utc,n_gaia,gaia_source_id,gaia_ra,gaia_dec,pmra,pmdec,parallax,g_mag,match_is_brightest,pm_total_masyr,shift_16yr_mas,res2015_ra_mas,res2015_dec_mas,res2015_mas,res2000_ra_mas,res2000_dec_mas,res2000_mas,epoch_class,reason,query_error
campaigns/toi-4321-01.yaml,TOI-4321.01,325081244,327.947949,-70.351914,J2000.0,NASA Exoplanet Archive TOI table,7.3016,2026-09-25T21:28:29Z,1,6395607011309867520,327.9479595823947,-70.35192069231336,24.587039428543598,-50.8634300054464,9.14751094085713,7.677439,True,56.494,903.910,-0.516,-1.339,1.435,380.583,-789.723,876.644,J2015.5,,
campaigns/toi-4355-01.yaml,TOI-4355.01,260655847,98.143838,-55.648969,J2000.0,NASA Exoplanet Archive TOI table,7.2298,2026-09-25T21:28:43Z,1,5497773372578215296,98.14386597306091,-55.648980795270184,114.62580766183707,-86.64809594018914,13.095302332249258,7.7304964,True,143.691,2299.048,0.490,-0.861,0.991,1777.190,-1343.907,2228.113,J2015.5,,
campaigns/toi-4509-01.yaml,TOI-4509.01,319610598,100.953422,-52.638381,J2000.0,NASA Exoplanet Archive TOI table,11.4003,2026-09-25T21:28:56Z,2,5501711995027853568,100.95342177674536,-52.638381905572516,0.04324743134846465,-5.885877788174742,1.5690991662199076,11.678579,True,5.886,94.177,0.509,0.317,0.600,1.180,-90.914,90.922,J2015.5,,
campaigns/toi-4585-01.yaml,TOI-4585.01,233529335,280.203329,62.506346,J2000.0,NASA Exoplanet Archive TOI table,9.64656,2026-09-25T21:29:08Z,1,2157077647164391296,280.20333737411545,62.50634451465455,26.37925175673237,-10.506138980450261,6.363267930028385,10.076292,True,28.394,454.311,-0.728,0.094,0.734,408.151,-162.751,439.403,J2015.5,,
campaigns/toi-5523-01.yaml,TOI-5523.01,443616612,169.117028,-3.975441,J2000.0,NASA Exoplanet Archive TOI table,13.7701,2026-09-25T21:29:21Z,1,3789847707126025600,169.11702399170338,-3.9754407710324364,-29.05479199085358,-1.911737870594977,5.484437982596295,14.798712,True,29.118,465.882,-0.132,-1.780,1.785,-450.482,-31.412,451.575,J2015.5,,
campaigns/toi-5563-01.yaml,TOI-5563.01,239198720,146.810895,24.541806,J2000.0,NASA Exoplanet Archive TOI table,10.7986,2026-09-25T21:29:37Z,1,643250349909794816,146.81088658447985,24.541802148789312,-55.294237874349555,-27.549838216667318,4.702464238632168,11.249342,True,61.777,988.438,-0.088,0.089,0.126,-857.149,-426.933,957.589,J2015.5,,
campaigns/toi-5696-03.yaml,TOI-5696.03,393546540,161.156925,6.333475,J2000.0,NASA Exoplanet Archive TOI table,9.1352,2026-09-25T21:29:50Z,1,3859284748342110208,161.15693300824597,6.333471868073235,58.852670740566666,-22.14722036009014,15.142154973503951,9.6521435,True,62.882,1006.111,0.773,0.201,0.798,912.989,-343.081,975.322,J2015.5,,
campaigns/toi-5719-01.yaml,TOI-5719.01,4843495,147.003946,30.17842,J2000.0,NASA Exoplanet Archive TOI table,9.67055,2026-09-25T21:30:03Z,1,744610375504790912,147.00394862591656,30.17842117459521,14.263723824696868,4.768531115611807,6.486772087560124,10.0255375,True,15.040,240.635,-1.040,-1.844,2.117,220.048,72.068,231.549,J2015.5,,
campaigns/toi-5745-01.yaml,TOI-5745.01,18016577,171.573332,38.22096,J2000.0,NASA Exoplanet Archive TOI table,9.8127,2026-09-25T21:30:16Z,1,761081437645780864,171.57330172900103,38.220962046780464,-173.30285626536062,17.61996782111077,12.92783131860978,10.378809,True,174.196,2787.140,-1.037,1.442,1.776,-2687.231,274.551,2701.220,J2015.5,,
campaigns/toi-5812-02.yaml,TOI-5812.02,388909695,327.570011,4.194573,J2000.0,NASA Exoplanet Archive TOI table,10.4106,2026-09-25T21:30:29Z,1,2696613294311603584,327.57001496094256,4.194573779041904,26.438441817323383,2.878196373072034,5.16212512988278,10.883926,True,26.595,425.514,-1.002,-1.365,1.694,408.794,43.247,411.075,J2015.5,,
