plntname,centralwavelng,bandwidth,plntransdep,plntransdeperr1,plntransdeperr2,plntransdeplim,plnratror,facility,instrument,plntranreflink
"WASP-12 b",1.2810,,1.410300,0.023000,-0.023000,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=MANDELL_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...779..128M/abstract target=ref>Mandell et al. 2013</a>"
"WASP-12 b",1.2855,0.0690,1.432700,0.004100,-0.004100,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=KREIDBERG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...814...66K/abstract target=ref>Kreidberg et al. 2015</a>"
"WASP-12 b",1.3080,,1.414300,0.020700,-0.020700,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=MANDELL_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...779..128M/abstract target=ref>Mandell et al. 2013</a>"
"WASP-12 b",1.3190,0.0520,,,,,0.11829,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>"
"WASP-12 b",1.3250,0.0500,1.366000,0.010000,-0.010000,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..161S/abstract target=ref>Stevenson et al. 2014</a>"
"WASP-12 b",1.3350,,1.438700,0.019000,-0.019000,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=MANDELL_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...779..128M/abstract target=ref>Mandell et al. 2013</a>"
"WASP-12 b",1.3545,0.0690,1.458200,0.004000,-0.004000,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=KREIDBERG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...814...66K/abstract target=ref>Kreidberg et al. 2015</a>"
"WASP-12 b",1.3620,,1.433800,0.018600,-0.018600,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=MANDELL_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...779..128M/abstract target=ref>Mandell et al. 2013</a>"
"WASP-12 b",1.3710,0.0520,,,,,0.11977,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>"
"WASP-12 b",1.3750,0.0500,1.388000,0.011000,-0.011000,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..161S/abstract target=ref>Stevenson et al. 2014</a>"
"WASP-12 b",1.3890,,1.441900,0.022500,-0.022500,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=MANDELL_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...779..128M/abstract target=ref>Mandell et al. 2013</a>"
"WASP-12 b",1.4160,,1.441400,0.020700,-0.020700,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=MANDELL_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...779..128M/abstract target=ref>Mandell et al. 2013</a>"
"WASP-12 b",1.4230,0.0520,,,,,0.11913,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>"
"WASP-12 b",1.4235,0.0690,1.460000,0.004300,-0.004300,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=KREIDBERG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...814...66K/abstract target=ref>Kreidberg et al. 2015</a>"
"WASP-12 b",1.4250,0.0500,1.379000,0.011000,-0.011000,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..161S/abstract target=ref>Stevenson et al. 2014</a>"
"WASP-12 b",1.4430,,1.432200,0.021700,-0.021700,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=MANDELL_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...779..128M/abstract target=ref>Mandell et al. 2013</a>"
"WASP-12 b",1.4710,,1.450500,0.023700,-0.023700,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=MANDELL_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...779..128M/abstract target=ref>Mandell et al. 2013</a>"
"WASP-12 b",1.4750,0.0520,,,,,0.11926,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>"
"WASP-12 b",1.4750,0.0500,1.395000,0.012000,-0.012000,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..161S/abstract target=ref>Stevenson et al. 2014</a>"
"WASP-12 b",1.4925,0.0690,1.453000,0.004500,-0.004500,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=KREIDBERG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...814...66K/abstract target=ref>Kreidberg et al. 2015</a>"
"WASP-12 b",1.4980,,1.471900,0.023100,-0.023100,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=MANDELL_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...779..128M/abstract target=ref>Mandell et al. 2013</a>"
