plntname,centralwavelng,bandwidth,plntransdep,plntransdeperr1,plntransdeperr2,plntransdeplim,plnratror,facility,instrument,plntranreflink
"HD 209458 b",0.6858,0.0039,,,,,0.12159,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.6936,0.0039,,,,,0.12103,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.7014,0.0039,,,,,0.12151,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.7092,0.0039,,,,,0.12135,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.7170,0.0039,,,,,0.12092,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.7248,0.0039,,,,,0.12120,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.7327,0.0039,,,,,0.12131,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.7405,0.0039,,,,,0.12110,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.7483,0.0039,,,,,0.12078,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.7561,0.0039,,,,,0.12212,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.7639,0.0039,,,,,0.12159,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.7717,0.0039,,,,,0.12211,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.7796,0.0039,,,,,0.12122,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.7874,0.0039,,,,,0.12158,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.7952,0.0039,,,,,0.12171,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.8030,0.0039,,,,,0.12124,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.8108,0.0039,,,,,0.12117,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.8186,0.0039,,,,,0.12050,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.8264,0.0039,,,,,0.12180,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.8343,0.0039,,,,,0.12058,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.8538,0.0156,,,,,0.12159,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.8851,0.0156,,,,,0.12139,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.9163,0.0156,,,,,0.11988,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",0.9475,0.0156,,,,,0.12169,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",1.1190,,1.451270,0.005060,-0.005060,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=DEMING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...95D/abstract target=ref>Deming et al. 2013</a>"
"HD 209458 b",1.1217,0.0093,,,,,0.12093,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",1.1380,,1.454650,0.003550,-0.003550,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=DEMING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...95D/abstract target=ref>Deming et al. 2013</a>"
"HD 209458 b",1.1402,0.0093,,,,,0.12118,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",1.1570,,1.456630,0.003520,-0.003520,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=DEMING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...95D/abstract target=ref>Deming et al. 2013</a>"
"HD 209458 b",1.1588,0.0093,,,,,0.12102,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",1.1750,,1.452310,0.003460,-0.003460,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=DEMING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...95D/abstract target=ref>Deming et al. 2013</a>"
"HD 209458 b",1.1774,0.0093,,,,,0.12099,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",1.1940,,1.452870,0.003410,-0.003410,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=DEMING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...95D/abstract target=ref>Deming et al. 2013</a>"
"HD 209458 b",1.1959,0.0093,,,,,0.12096,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",1.2130,,1.454990,0.003370,-0.003370,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=DEMING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...95D/abstract target=ref>Deming et al. 2013</a>"
"HD 209458 b",1.2145,0.0093,,,,,0.12097,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",1.2320,,1.457180,0.003350,-0.003350,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=DEMING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...95D/abstract target=ref>Deming et al. 2013</a>"
"HD 209458 b",1.2330,0.0093,,,,,0.12084,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",1.2510,,1.453860,0.003360,-0.003360,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=DEMING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...95D/abstract target=ref>Deming et al. 2013</a>"
"HD 209458 b",1.2516,0.0093,,,,,0.12075,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",1.2700,,1.452220,0.003380,-0.003380,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=DEMING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...95D/abstract target=ref>Deming et al. 2013</a>"
"HD 209458 b",1.2702,0.0093,,,,,0.12081,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",1.2880,,1.453840,0.003370,-0.003370,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=DEMING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...95D/abstract target=ref>Deming et al. 2013</a>"
"HD 209458 b",1.2887,0.0093,,,,,0.12085,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",1.3070,,1.453590,0.003340,-0.003340,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=DEMING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...95D/abstract target=ref>Deming et al. 2013</a>"
"HD 209458 b",1.3073,0.0093,,,,,0.12072,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",1.3259,0.0093,,,,,0.12138,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",1.3260,,1.460450,0.003340,-0.003340,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=DEMING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...95D/abstract target=ref>Deming et al. 2013</a>"
"HD 209458 b",1.3444,0.0093,,,,,0.12180,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",1.3450,,1.468500,0.003350,-0.003350,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=DEMING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...95D/abstract target=ref>Deming et al. 2013</a>"
"HD 209458 b",1.3630,0.0093,,,,,0.12176,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",1.3640,,1.477900,0.003390,-0.003390,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=DEMING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...95D/abstract target=ref>Deming et al. 2013</a>"
"HD 209458 b",1.3815,0.0093,,,,,0.12166,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",1.3830,,1.475210,0.003440,-0.003440,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=DEMING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...95D/abstract target=ref>Deming et al. 2013</a>"
"HD 209458 b",1.4001,0.0093,,,,,0.12163,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",1.4010,,1.478880,0.003450,-0.003450,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=DEMING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...95D/abstract target=ref>Deming et al. 2013</a>"
"HD 209458 b",1.4187,0.0093,,,,,0.12134,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",1.4200,,1.470520,0.003470,-0.003470,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=DEMING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...95D/abstract target=ref>Deming et al. 2013</a>"
"HD 209458 b",1.4372,0.0093,,,,,0.12125,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",1.4390,,1.470170,0.003500,-0.003500,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=DEMING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...95D/abstract target=ref>Deming et al. 2013</a>"
"HD 209458 b",1.4558,0.0093,,,,,0.12142,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",1.4580,,1.467770,0.003540,-0.003540,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=DEMING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...95D/abstract target=ref>Deming et al. 2013</a>"
"HD 209458 b",1.4744,0.0093,,,,,0.12152,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",1.4770,,1.469510,0.003590,-0.003590,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=DEMING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...95D/abstract target=ref>Deming et al. 2013</a>"
"HD 209458 b",1.4929,0.0093,,,,,0.12133,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",1.4960,,1.472230,0.003640,-0.003640,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=DEMING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...95D/abstract target=ref>Deming et al. 2013</a>"
"HD 209458 b",1.5115,0.0093,,,,,0.12147,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",1.5150,,1.464140,0.003660,-0.003660,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=DEMING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...95D/abstract target=ref>Deming et al. 2013</a>"
"HD 209458 b",1.5300,0.0093,,,,,0.12143,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",1.5330,,1.467680,0.003710,-0.003710,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=DEMING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...95D/abstract target=ref>Deming et al. 2013</a>"
"HD 209458 b",1.5486,0.0093,,,,,0.12130,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",1.5520,,1.466620,0.003780,-0.003780,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=DEMING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...95D/abstract target=ref>Deming et al. 2013</a>"
"HD 209458 b",1.5672,0.0093,,,,,0.12141,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",1.5710,,1.464250,0.003860,-0.003860,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=DEMING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...95D/abstract target=ref>Deming et al. 2013</a>"
"HD 209458 b",1.5857,0.0093,,,,,0.12100,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",1.5900,,1.459410,0.003920,-0.003920,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=DEMING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...95D/abstract target=ref>Deming et al. 2013</a>"
"HD 209458 b",1.6043,0.0093,,,,,0.12114,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",1.6090,,1.453010,0.003990,-0.003990,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=DEMING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...95D/abstract target=ref>Deming et al. 2013</a>"
"HD 209458 b",1.6229,0.0093,,,,,0.12098,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",1.6280,,1.464210,0.004080,-0.004080,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=DEMING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...95D/abstract target=ref>Deming et al. 2013</a>"
"HD 209458 b",1.6391,0.0093,,,,,0.12083,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",3.5600,0.3800,,,,,0.12170,"Spitzer Space Telescope satellite","Infrared Array Camera (IRAC)","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",3.6000,,,,,,0.12077,"Spitzer Space Telescope satellite","IRAC","<a refstr=EVANS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.451..680E/abstract target=ref>Evans et al. 2015</a>"
"HD 209458 b",3.6000,,,,,,0.12220,"Spitzer Space Telescope satellite","IRAC","<a refstr=EVANS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.451..680E/abstract target=ref>Evans et al. 2015</a>"
"HD 209458 b",4.5000,,,,,,0.12199,"Spitzer Space Telescope satellite","IRAC","<a refstr=EVANS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.451..680E/abstract target=ref>Evans et al. 2015</a>"
"HD 209458 b",4.5000,0.5600,,,,,0.12108,"Spitzer Space Telescope satellite","Infrared Array Camera (IRAC)","<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>"
"HD 209458 b",4.5000,,,,,,0.12099,"Spitzer Space Telescope satellite","IRAC","<a refstr=EVANS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.451..680E/abstract target=ref>Evans et al. 2015</a>"
"HD 209458 b",5.8000,,,,,,0.11880,"Spitzer Space Telescope satellite","IRAC","<a refstr=EVANS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.451..680E/abstract target=ref>Evans et al. 2015</a>"
"HD 209458 b",5.8000,,,,,,0.12007,"Spitzer Space Telescope satellite","IRAC","<a refstr=EVANS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.451..680E/abstract target=ref>Evans et al. 2015</a>"
"HD 209458 b",8.0000,,,,,,0.11991,"Spitzer Space Telescope satellite","IRAC","<a refstr=EVANS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.451..680E/abstract target=ref>Evans et al. 2015</a>"
"HD 209458 b",8.0000,,,,,,0.12007,"Spitzer Space Telescope satellite","IRAC","<a refstr=EVANS_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.451..680E/abstract target=ref>Evans et al. 2015</a>"
"TRAPPIST-1 g",1.1375,0.0175,,,,,0.75200,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=WAKEFORD_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...11W/abstract target=ref>Wakeford et al. 2019</a>"
"TRAPPIST-1 g",1.1725,0.0175,,,,,0.76300,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=WAKEFORD_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...11W/abstract target=ref>Wakeford et al. 2019</a>"
"TRAPPIST-1 g",1.2075,0.0175,,,,,0.76690,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=WAKEFORD_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...11W/abstract target=ref>Wakeford et al. 2019</a>"
"TRAPPIST-1 g",1.2425,0.0175,,,,,0.77760,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=WAKEFORD_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...11W/abstract target=ref>Wakeford et al. 2019</a>"
"TRAPPIST-1 g",1.2775,0.0175,,,,,0.78720,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=WAKEFORD_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...11W/abstract target=ref>Wakeford et al. 2019</a>"
"TRAPPIST-1 g",1.3125,0.0175,,,,,0.77650,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=WAKEFORD_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...11W/abstract target=ref>Wakeford et al. 2019</a>"
"TRAPPIST-1 g",1.3850,0.0250,,,,,0.80110,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=WAKEFORD_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...11W/abstract target=ref>Wakeford et al. 2019</a>"
"TRAPPIST-1 g",1.4000,0.3000,,,,,0.77360,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=WAKEFORD_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...11W/abstract target=ref>Wakeford et al. 2019</a>"
"TRAPPIST-1 g",1.4350,0.0250,,,,,0.77300,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=WAKEFORD_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...11W/abstract target=ref>Wakeford et al. 2019</a>"
"TRAPPIST-1 g",1.4850,0.0250,,,,,0.77780,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=WAKEFORD_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...11W/abstract target=ref>Wakeford et al. 2019</a>"
"TRAPPIST-1 g",1.5350,0.0250,,,,,0.73350,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=WAKEFORD_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...11W/abstract target=ref>Wakeford et al. 2019</a>"
"TRAPPIST-1 g",1.5850,0.0250,,,,,0.79770,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=WAKEFORD_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...11W/abstract target=ref>Wakeford et al. 2019</a>"
"TRAPPIST-1 g",1.6350,0.0250,,,,,0.77540,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=WAKEFORD_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...11W/abstract target=ref>Wakeford et al. 2019</a>"
"WASP-12 b",0.3350,0.0900,,,,,0.12135,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>"
