pl_name,spec_type,authors,num_datapoints,instrument,facility,minwavelng,maxwavelng,note,bibcode
"WASP-12 b","Eclipse","Deming et al. 2023",1,"Infrared Array Camera (IRAC)","Spitzer Space Telescope satellite",3.6000,3.6000,"AOR = 28578560, date is start time.","2023AJ....165..104D"
"WASP-12 b","Eclipse","Deming et al. 2023",1,"Infrared Array Camera (IRAC)","Spitzer Space Telescope satellite",3.6000,3.6000,"AOR = 39200768, date is start time.","2023AJ....165..104D"
"WASP-12 b","Eclipse","Deming et al. 2023",1,"Infrared Array Camera (IRAC)","Spitzer Space Telescope satellite",3.6000,3.6000,"AOR = 41260032, date is start time.","2023AJ....165..104D"
"WASP-12 b","Eclipse","Garhart et al. 2020",2,"Infrared Array Camera (IRAC)","Spitzer Space Telescope satellite",3.6000,4.5000,"Table 1 & 6","2020AJ....159..137G"
"WASP-12 b","Eclipse","L&oacute;pez-Morales et al. 2010",1,"Seaver Prototype Imaging camera (SPICam)","Astrophysical Research Consortium (ARC) 3.5m Telescope At Apache Point Observatory (APO)",0.9000,0.9000,"text, Section 3, 2nd paragraph","2010ApJ...716L..36L"
"WASP-12 b","Eclipse","Stevenson et al. 2014",11,"Wide Field Camera 3","Hubble Space Telescope satellite",1.1300,1.6300,"from Table 3; G141 grism","2014ApJ...791...36S"
"WASP-12 b","Eclipse","Stevenson et al. 2014",4,"Infrared Array Camera (IRAC)","Spitzer Space Telescope satellite",3.6000,8.0000,"Table 3","2014ApJ...791...36S"
"WASP-12 b","Eclipse","Swain et al. 2013",110,"Wide Field Camera 3","Hubble Space Telescope satellite",1.1306,1.6360,"from Table 2; G141 grism; R=300","2013Icar..225..432S"
"WASP-12 b","Transmission","Changeat et al. 2022",25,"Wide Field Camera 3","Hubble Space Telescope satellite",1.1262,1.6295,"Figure 2","2022ApJS..260....3C"
"WASP-12 b","Transmission","Copperwheat et al. 2013",3,"Space Telescope Imaging Spectrograph","Hubble Space Telescope satellite",0.3557,0.6010,,"2013MNRAS.434..661C"
"WASP-12 b","Transmission","Kreidberg et al. 2015",13,"Wide Field Camera 3","Hubble Space Telescope satellite",0.8670,1.6315,,"2015ApJ...814...66K"
"WASP-12 b","Transmission","Mandell et al. 2013",19,"Wide Field Camera 3","Hubble Space Telescope satellite",1.1450,1.6330,,"2013ApJ...779..128M"
"WASP-12 b","Transmission","Sing et al. 2013",2,"Infrared Array Camera (IRAC)","Spitzer Space Telescope satellite",3.6000,4.5000,,"2013MNRAS.436.2956S"
"WASP-12 b","Transmission","Sing et al. 2013",21,"Space Telescope Imaging Spectrograph","Hubble Space Telescope satellite",0.3350,1.6310,,"2013MNRAS.436.2956S"
"WASP-12 b","Transmission","Stevenson et al. 2014",29,"Wide Field Camera 3","Hubble Space Telescope satellite",0.7280,1.6250,,"2014AJ....147..161S"
"WASP-12 b","Transmission","Stevenson et al. 2014",2,"Infrared Array Camera (IRAC)","Spitzer Space Telescope satellite",3.6000,4.5000,,"2014AJ....147..161S"
"WASP-12 b","Transmission","Swain et al. 2013",110,"Wide Field Camera 3","Hubble Space Telescope satellite",1.1306,1.6360,"from Table 2; G141 grism; R=300","2013Icar..225..432S"
