HR,Name,RAJ2000,DEJ2000,Vmag,B-V
1490," ",70.3325,28.614999999999995,5.78,-0.03
1445," ",68.65833333333332,28.96111111111111,5.88,-0.06
1529," ",72.30333333333333,31.437222222222218,5.58,1.12
1577,"  3Iot Aur",74.24833333333332,33.16611111111111,2.69,1.53
1528," ",72.32916666666665,32.58833333333333,5.86,0.24
1501," ",70.95124999999999,32.86527777777777,6.45,
1287," 44    Tau",62.707916666666655,26.48083333333333,5.41,0.34
1268," 41    Tau",61.65166666666666,27.599999999999998,5.2,-0.13
1269," 42Psi Tau",61.752083333333324,29.001388888888886,5.23,0.34
1344," ",65.04166666666666,31.95333333333333,6.16,1.71
1209," ",58.845833333333324,31.04583333333333,6.1,0.29
1197," ",58.01791666666666,31.16833333333333,6.25,0.2
1203," 44Zet Per",58.53291666666666,31.883611111111108,2.85,0.12
1286," ",62.74583333333332,33.58666666666666,5.72,1.44
1406," ",67.21624999999999,30.361388888888886,6.4,0.52
1390," ",66.52624999999999,31.438888888888883,5.28,0.97
1419," ",67.65958333333333,32.45805555555555,6.21,-0.04
1379," 56    Per",66.15583333333332,33.95972222222222,5.76,0.4
1377," 55    Per",66.12166666666666,34.13055555555555,5.73,-0.06
1489," ",70.45958333333333,38.28027777777777,5.99,0.57
1343," 54    Per",65.10249999999999,34.56666666666666,4.93,0.94
1424," ",67.85,40.01027777777777,6.26,0.04
1706," 14    Aur",78.85166666666666,32.687777777777775,5.02,0.23
1726," 16    Aur",79.54458333333332,33.37166666666666,4.54,1.27
1732," ",79.74999999999999,33.74833333333333,5.41,-0.19
1740," 19    Aur",80.00374999999998,33.95805555555555,5.03,0.27
1728," 17    Aur",79.57874999999999,33.767222222222216,6.14,-0.06
1734," 18    Aur",79.84833333333333,33.98555555555555,6.49,0.24
1712," ",79.07583333333332,34.31194444444444,5.96,0.22
1796," ",81.71374999999999,33.26277777777777,6.15,1.15
1805," 24Phi Aur",81.91208333333333,34.47583333333333,5.07,1.4
1795," ",81.70374999999999,34.39166666666666,5.94,0.14
1794," ",81.72625,35.457222222222214,6.15,1.45
1854," ",83.40833333333332,34.72583333333333,6.27,0.15
1773," 21Sig Aur",81.16333333333333,37.38555555555555,4.99,1.42
1573," ",74.08291666666666,36.16888888888889,6.07,0.41
1669," ",77.57874999999999,37.30194444444444,6.02,0.72
1689," 11Mu  Aur",78.35708333333332,38.48444444444444,4.86,0.18
1729," 15Lam Aur",79.78541666666665,40.09916666666666,4.71,0.63
1725," ",79.66833333333332,40.464999999999996,6.18,1.37
1825," ",82.68791666666665,39.82583333333333,6.37,0.97
1884," ",84.21833333333332,40.182222222222215,6.09,1.03
1995," 29Tau Aur",87.29374999999999,39.18111111111111,4.52,0.94
1979," ",86.81124999999999,42.526666666666664,6.29,1.35
1824," ",82.70249999999999,41.46194444444444,6.0,1.11
1760," ",80.70958333333333,41.02944444444444,5.54,0.12
1738," ",80.06166666666665,41.08611111111111,5.52,0.11
1749," 20Rho Aur",80.45166666666665,41.804444444444435,5.23,-0.15
2088," 34Bet Aur",89.88208333333333,44.94749999999999,1.9,0.03
2091," 35Pi  Aur",89.98374999999999,45.936944444444435,4.26,1.72
1551,"  2    Aur",73.15833333333332,36.70305555555555,4.78,1.41
1533," ",72.47749999999999,37.48833333333333,4.88,1.44
1592,"  4Ome Aur",74.81416666666665,37.890277777777776,4.94,0.04
1599,"  5    Aur",75.07624999999999,39.394722222222214,5.95,0.41
1612,"  8Zet Aur",75.61958333333332,41.07583333333333,3.75,1.22
1615," ",75.82749999999999,41.44166666666666,6.14,0.16
1641," 10Eta Aur",76.62874999999998,41.23444444444444,3.17,-0.18
1644," ",76.70666666666665,43.174722222222215,6.2,0.43
1500," ",71.05375,40.78694444444444,6.08,0.06
1514," ",71.68499999999999,40.312777777777775,5.97,0.93
1454," 58    Per",69.17249999999999,41.26472222222222,4.25,1.22
1494," 59    Per",70.72625,43.364999999999995,5.29,0.0
1550," ",73.19916666666666,42.58666666666666,5.71,0.11
1558," ",73.71374999999999,44.06083333333333,6.08,-0.02
1605,"  7Eps Aur",75.49208333333333,43.82333333333333,2.99,0.54
1722," ",79.56624999999998,42.792222222222215,5.48,1.65
2054," ",89.27041666666665,49.02944444444444,6.47,0.99
1869," ",84.06624999999998,47.71527777777777,6.11,0.26
2081," ",89.84083333333332,49.92444444444444,5.89,1.23
1708," 13Alp Aur",79.17249999999999,45.99805555555555,0.08,0.8
1668," ",77.67875,46.962222222222216,5.68,0.42
1971," 27Omi Aur",86.475,49.82638888888888,5.47,0.03
2003," ",87.73499999999999,51.51472222222222,6.29,1.05
2045," ",89.05999999999999,51.803888888888885,6.49,
2077," 33Del Aur",89.88166666666666,54.284722222222214,3.72,1.0
1131," 38Omi Per",56.079583333333325,32.28833333333333,3.83,0.05
1164," ",56.95374999999999,32.19499999999999,6.25,0.47
1177," 42    Per",57.38583333333332,33.091388888888886,5.11,0.07
1123," 40    Per",55.59374999999999,33.964999999999996,4.97,-0.01
1191," ",57.973749999999995,34.35916666666666,5.77,0.0
1215," ",59.119583333333324,35.081111111111106,5.49,-0.03
1228," 46Xi  Per",59.741249999999994,35.79111111111111,4.04,0.01
1234," ",60.311249999999994,36.989999999999995,6.41,-0.01
1074," ",53.16666666666666,35.46166666666666,5.9,-0.06
1133," ",56.13083333333333,36.459999999999994,5.59,0.06
1113," ",55.28291666666666,37.58,5.57,-0.07
1277," 49    Per",62.06374999999999,37.727777777777774,6.09,0.95
1278," 50    Per",62.15249999999999,38.03972222222222,5.51,0.46
1301," ",63.49833333333333,37.96694444444444,6.45,
1229," ",59.91666666666666,38.82055555555555,6.38,0.1
1226," ",59.62124999999999,38.84027777777777,6.3,1.08
1306," 52    Per",63.72208333333332,40.4836111111111,4.71,1.01
1337," ",65.05999999999999,41.80805555555555,5.92,0.94
1371," ",65.89958333333333,42.42805555555555,6.23,0.0
