hpx,n,x,y,z
3093,89,0.8052477785866063,-0.5687476994696921,0.1670521035966031
3979,110,0.17121979757841754,-0.43802050013818106,0.8823997723423683
3030,89,-0.05756974267373915,-0.1931437392544007,0.9793728649026238
1713,102,-0.12976824413498625,0.6955754988914846,0.7065042172425906
2545,59,-0.09598785487259912,-0.5291885639963558,0.8429309003892712
8495,54,0.2716433884817268,0.5871275109528781,-0.7624208338893809
11521,40,0.44463895007041876,-0.020509494785183324,-0.8953059815845708
7891,85,-0.28611921336554713,-0.9470727045786487,0.1450010660891426
9945,238,-0.3884347678094753,0.7735522621425053,-0.5005648300511336
2953,45,-0.4505688941859654,-0.2088741130852991,0.8678487459080871
11912,182,0.01919312805732407,-0.6469962788034452,-0.7620945792301876
5727,107,0.09768808612565096,0.9931437601383029,0.0629206738811202
6618,45,-0.9015851412718219,-0.4000097851465149,0.1642679456087071
1762,111,-0.091939999435334,0.6180556951550877,0.7806022618429946
1229,61,-0.6441940642708822,0.6116931313340215,0.4589895298204481
9211,47,0.737987867577258,0.6716313604236036,-0.06405242539818896
4110,48,0.8394437091279189,-0.020002538995918737,-0.5429181589915891
8110,59,-0.2914536568353832,-0.8804948061119486,0.37365924496105346
893,79,0.01967245000712113,0.25302063099760264,0.9671541152617694
4817,50,0.9559912397336957,-0.2648837268012197,0.12548603825999538
9016,31,0.6676635190866381,0.60280732160788,-0.43668529676872925
7633,213,0.488790453763803,-0.8632938860661046,0.1250500078785365
1305,36,-0.8213400947707092,0.27045420631594547,0.5020884152048275
458,99,0.27476215447349184,0.6095188413110414,0.7434917404602552
12048,72,0.6383702831967096,-0.5259972150158083,-0.5618125508063914
5818,43,0.6124618724547198,0.7862595138153831,0.08079988873145376
5755,123,0.24085221029801607,0.96489873038506,0.10388292838438007
5687,73,0.3381533189365881,0.9387568141762257,-0.06492936449313788
7255,213,0.320131660204192,-0.8944201628923207,-0.3119950868890805
1120,64,-0.7435417691678069,0.6117369132423719,0.2697025879969189
4698,36,0.9849993590661659,-0.17212672173989982,0.0015235486519847201
12016,173,0.3364959840899193,-0.8101875842937241,-0.47977555238852937
2838,51,-0.3400380731117335,-0.4738893412880459,0.8121782011497558
12100,73,0.7711059131891269,-0.4625973585937477,-0.4372844628477591
8868,42,0.7200851500829655,0.09148805216542344,-0.6876600589528288
5127,103,-0.040300877186171216,0.8247578254301694,-0.5638809931033862
4062,99,0.14114139709026374,-0.05669321999069363,0.9882429594096929
1337,40,-0.7425886020800556,0.3254866563842225,0.5851923006213027
7545,149,0.5331779353179882,-0.8418010306803712,0.08315512415799312
6070,70,0.15679039503883688,0.8955838698605617,0.4161691851663694
6028,90,0.18779843787208506,0.9435440373155141,0.272550938127023
3654,241,0.4675031085573022,-0.6637271453969655,0.5837110122547277
10464,302,-0.4140905168211027,-0.3055826883168495,-0.8573074969940377
2408,57,-0.2572137642819229,-0.7176988536353317,0.646992366125226
1458,48,-0.5826619869094397,0.39957312322742444,0.7075760193647237
12024,172,0.3020929229983928,-0.8469715424862532,-0.4372736398204673
4304,34,0.9688794757222636,0.09349328049977373,-0.22886823735896805
3423,135,0.6869110739273915,-0.019351548310069182,0.7263171629937656
2895,61,-0.17206158002933927,-0.38773819941907284,0.9054642451064769
4325,59,0.9858916649674615,-0.026864294238295155,-0.16477920569278778
9519,266,-0.5859775425088152,0.2733445135666018,-0.7627013384272395
11176,42,-0.8448514104132485,-0.400734089771423,-0.35420017021413563
9968,275,-0.33697502995744283,0.8103624736001032,-0.47916838267198425
11753,42,0.7545053780341077,-0.42534242368363545,-0.4996016436482983
6211,57,-0.8823839725321206,-0.17547155053621155,-0.4363675413864268
552,78,0.8514774777831834,0.2124510005073943,0.4792485811888296
229,75,0.627544963846396,0.5958977652768799,0.5009142789127026
3588,204,0.39271362031795976,-0.8298118306798989,0.39626671499011873
4455,47,0.8579650364708571,0.5130724128403398,0.022489676400474595
4753,52,0.8928620806608811,-0.44801740752814,-0.04366910512580784
1777,106,-0.13137730339654508,0.5201317824952157,0.8437999279227467
2955,33,-0.4368941265576976,-0.1708389197132913,0.8830501784902978
8789,30,0.5399816686542592,0.5115756947296519,-0.6682199744486209
3054,45,-0.1499891683079783,-0.019328307645301523,0.9883950926878964
8381,50,0.46371112730049974,0.2759803168821146,-0.8418192821215814
3458,166,0.6864748190421427,-0.4842192171451935,0.5423193817208399
1439,49,-0.6152887311404998,0.3046287185433431,0.7269390533828157
11246,47,-0.781781852156406,-0.610356792996467,-0.12697320860756434
10330,258,-0.13449800176155835,-0.3759098700830772,-0.9167289291607655
11761,63,0.8281720474692793,-0.31924519492747666,-0.4604830963563454
5863,52,0.4171710872083973,0.8895818947794001,0.18561288361821493
1738,94,-0.16629815940753495,0.6450141374731367,0.7457341857266439
