plntname,centralwavelng,bandwidth,especlipdep,especlipdeperr1,especlipdeperr2,especlipdeplim,espbritemp,espbritemperr1,espbritemperr2,espbritemplim,facility,instrument,note,plntreflink
"WASP-12 b",1.1750,0.0500,0.128000,0.012000,-0.012000,0,,,,,"Hubble Space Telescope satellite","Wide Field Camera 3","Table 3","<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>"
"WASP-12 b",1.2250,0.0500,0.101000,0.012000,-0.012000,0,,,,,"Hubble Space Telescope satellite","Wide Field Camera 3","Table 3","<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>"
"WASP-12 b",1.2530,,0.131000,0.027000,-0.029000,0,,,,,"3.58m Canada-France-Hawaii Telescope (CFHT) at Mauna Kea Observatory","Wide-field Infrared Camera (WIRCam)","eclipse depth taken from Abstract","<a refstr=CROLL_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011AJ....141...30C/abstract target=ref>Croll et al. 2011</a>"
"WASP-12 b",1.2750,0.0500,0.142000,0.011000,-0.011000,0,,,,,"Hubble Space Telescope satellite","Wide Field Camera 3","Table 3","<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>"
"WASP-12 b",1.3250,0.0500,0.154000,0.012000,-0.012000,0,,,,,"Hubble Space Telescope satellite","Wide Field Camera 3","Table 3","<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>"
"WASP-12 b",1.3750,0.0500,0.156000,0.012000,-0.012000,0,,,,,"Hubble Space Telescope satellite","Wide Field Camera 3","Table 3","<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>"
"WASP-12 b",1.4250,0.0500,0.184000,0.012000,-0.012000,0,,,,,"Hubble Space Telescope satellite","Wide Field Camera 3","Table 3","<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>"
"WASP-12 b",1.4750,0.0500,0.198000,0.012000,-0.012000,0,,,,,"Hubble Space Telescope satellite","Wide Field Camera 3","Table 3","<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>"
"WASP-12 b",1.5250,0.0500,0.196000,0.013000,-0.013000,0,,,,,"Hubble Space Telescope satellite","Wide Field Camera 3","Table 3","<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>"
"WASP-12 b",1.5375,0.0250,0.034000,0.155000,-0.155000,0,,,,,"Infrared Telescope Facility","SpeX","Table 2","<a refstr=CROSSFIELD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...746...46C/abstract target=ref>Crossfield et al. 2012</a>"
"WASP-12 b",1.5625,0.0250,0.206000,0.110000,-0.110000,0,,,,,"Infrared Telescope Facility","SpeX","Table 2","<a refstr=CROSSFIELD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...746...46C/abstract target=ref>Crossfield et al. 2012</a>"
"WASP-12 b",1.5750,0.0500,0.179000,0.014000,-0.014000,0,,,,,"Hubble Space Telescope satellite","Wide Field Camera 3","Table 3","<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>"
"WASP-12 b",1.5875,0.0250,0.204000,0.086000,-0.086000,0,,,,,"Infrared Telescope Facility","SpeX","Table 2","<a refstr=CROSSFIELD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...746...46C/abstract target=ref>Crossfield et al. 2012</a>"
"WASP-12 b",1.6125,0.0250,0.133000,0.135000,-0.135000,0,,,,,"Infrared Telescope Facility","SpeX","Table 2","<a refstr=CROSSFIELD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...746...46C/abstract target=ref>Crossfield et al. 2012</a>"
"WASP-12 b",1.6250,0.0500,0.192000,0.017000,-0.017000,0,,,,,"Hubble Space Telescope satellite","Wide Field Camera 3","Table 3","<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...791...36S/abstract target=ref>Stevenson et al. 2014</a>"
"WASP-12 b",1.6310,,0.176000,0.016000,-0.021000,0,,,,,"3.58m Canada-France-Hawaii Telescope (CFHT) at Mauna Kea Observatory","Wide-field Infrared Camera (WIRCam)","eclipse depth taken from Abstract","<a refstr=CROLL_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011AJ....141...30C/abstract target=ref>Croll et al. 2011</a>"
