TIME_stored,BJD_like,QUALITY,SAP_FLUX,PDCSAP_FLUX,SAP_frac_resid_2d,PDCSAP_frac_resid_2d
2.485236711574985293e+03,2.459485236711575184e+06,4.096000000000000000e+03,4.871267089843750000e+03,nan,nan,nan
2.485238100593573563e+03,2.459485238100593444e+06,4.096000000000000000e+03,4.859830566406250000e+03,nan,nan,nan
2.485239489612147281e+03,2.459485239489612170e+06,4.096000000000000000e+03,4.869744140625000000e+03,nan,nan,nan
2.485240878630736461e+03,2.459485240878630895e+06,4.096000000000000000e+03,4.869629394531250000e+03,nan,nan,nan
2.485242267649311088e+03,2.459485242267649155e+06,4.096000000000000000e+03,4.847944824218750000e+03,nan,nan,nan
2.485243656667885716e+03,2.459485243656667881e+06,4.096000000000000000e+03,4.861393066406250000e+03,nan,nan,nan
2.485245045686460344e+03,2.459485245045686606e+06,4.096000000000000000e+03,4.864509765625000000e+03,nan,nan,nan
2.485246434705019055e+03,2.459485246434704866e+06,4.096000000000000000e+03,4.841046386718750000e+03,nan,nan,nan
2.485247823723592319e+03,2.459485247823723592e+06,4.096000000000000000e+03,4.874611816406250000e+03,nan,nan,nan
2.485249212742152395e+03,2.459485249212742317e+06,4.096000000000000000e+03,4.854539062500000000e+03,nan,nan,nan
2.485250601760711561e+03,2.459485250601760577e+06,4.096000000000000000e+03,4.852190917968750000e+03,nan,nan,nan
2.485251990779271637e+03,2.459485251990779303e+06,4.096000000000000000e+03,4.858295410156250000e+03,nan,nan,nan
2.485253379797816251e+03,2.459485253379798029e+06,4.096000000000000000e+03,4.855515625000000000e+03,nan,nan,nan
2.485254768816375872e+03,2.459485254768816289e+06,4.096000000000000000e+03,4.850197753906250000e+03,nan,nan,nan
2.485256157834920941e+03,2.459485256157835014e+06,4.096000000000000000e+03,4.859088378906250000e+03,nan,nan,nan
2.485257546853465556e+03,2.459485257546853274e+06,4.096000000000000000e+03,4.850753417968750000e+03,nan,nan,nan
2.485258935872011079e+03,2.459485258935872000e+06,4.096000000000000000e+03,4.871973144531250000e+03,nan,nan,nan
2.485260324890541142e+03,2.459485260324890725e+06,4.096000000000000000e+03,4.848862792968750000e+03,nan,nan,nan
2.485261713909087121e+03,2.459485261713908985e+06,4.096000000000000000e+03,4.863296875000000000e+03,nan,nan,nan
2.485263102927618547e+03,2.459485263102927711e+06,4.096000000000000000e+03,4.837497070312500000e+03,nan,nan,nan
2.485264491946148610e+03,2.459485264491945971e+06,4.096000000000000000e+03,4.848544433593750000e+03,nan,nan,nan
2.485265880964665030e+03,2.459485265880964696e+06,4.096000000000000000e+03,4.863031250000000000e+03,nan,nan,nan
2.485267269983195092e+03,2.459485267269983422e+06,4.096000000000000000e+03,4.874656250000000000e+03,nan,nan,nan
2.485268659001711512e+03,2.459485268659001682e+06,4.096000000000000000e+03,4.863390136718750000e+03,nan,nan,nan
2.485270048020227023e+03,2.459485270048020408e+06,4.096000000000000000e+03,4.863356445312500000e+03,nan,nan,nan
2.485271437038742988e+03,2.459485271437038668e+06,4.096000000000000000e+03,4.840390136718750000e+03,nan,nan,nan
2.485272826057258953e+03,2.459485272826057393e+06,4.096000000000000000e+03,4.847519042968750000e+03,nan,nan,nan
2.485274215075774464e+03,2.459485274215075653e+06,4.096000000000000000e+03,4.837904296875000000e+03,nan,nan,nan
2.485275604094276332e+03,2.459485275604094379e+06,4.096000000000000000e+03,4.851266113281250000e+03,nan,nan,nan
2.485276993112777291e+03,2.459485276993112639e+06,4.096000000000000000e+03,4.869933593750000000e+03,nan,nan,nan
2.485278382131279159e+03,2.459485278382131364e+06,4.096000000000000000e+03,4.858837890625000000e+03,nan,nan,nan
2.485279771149780117e+03,2.459485279771149624e+06,4.096000000000000000e+03,4.859062011718750000e+03,nan,nan,nan
2.485281160168267434e+03,2.459485281160168350e+06,4.096000000000000000e+03,4.866517578125000000e+03,nan,nan,nan
2.485282549186768392e+03,2.459485282549186610e+06,4.096000000000000000e+03,4.872941406250000000e+03,nan,nan,nan
2.485283938205255708e+03,2.459485283938205335e+06,4.096000000000000000e+03,4.877755371093750000e+03,nan,nan,nan
2.485285327223742115e+03,2.459485285327223595e+06,4.096000000000000000e+03,4.862581054687500000e+03,nan,nan,nan
2.485286716242214879e+03,2.459485286716242321e+06,4.096000000000000000e+03,4.866513671875000000e+03,nan,nan,nan
2.485288105260701286e+03,2.459485288105260581e+06,4.096000000000000000e+03,4.866939453125000000e+03,nan,nan,nan
2.485289494279173141e+03,2.459485289494279306e+06,4.096000000000000000e+03,4.851845703125000000e+03,nan,nan,nan
2.485290883297645905e+03,2.459485290883297566e+06,4.096000000000000000e+03,4.849311035156250000e+03,nan,nan,nan
2.485292272316117760e+03,2.459485292272316292e+06,4.096000000000000000e+03,4.863641113281250000e+03,nan,nan,nan
2.485293661334590524e+03,2.459485293661334552e+06,4.096000000000000000e+03,4.874884277343750000e+03,nan,nan,nan
2.485295050353047827e+03,2.459485295050353277e+06,4.096000000000000000e+03,4.867232910156250000e+03,nan,nan,nan
2.485296439371506040e+03,2.459485296439371537e+06,4.096000000000000000e+03,4.854287109375000000e+03,nan,nan,nan
2.485297828389978804e+03,2.459485297828389797e+06,4.096000000000000000e+03,4.853770996093750000e+03,nan,nan,nan
2.485299217408422464e+03,2.459485299217408523e+06,4.096000000000000000e+03,4.859591796875000000e+03,nan,nan,nan
2.485300606426880677e+03,2.459485300606426783e+06,4.096000000000000000e+03,4.863163085937500000e+03,nan,nan,nan
2.485301995445337980e+03,2.459485301995445509e+06,4.096000000000000000e+03,4.878141601562500000e+03,nan,nan,nan
2.485303384463781640e+03,2.459485303384463768e+06,4.096000000000000000e+03,4.861612792968750000e+03,nan,nan,nan
2.485304773482224391e+03,2.459485304773482028e+06,4.096000000000000000e+03,4.864909179687500000e+03,nan,nan,nan
2.485306162500667142e+03,2.459485306162500754e+06,4.096000000000000000e+03,4.846763183593750000e+03,nan,nan,nan
2.485307551519096251e+03,2.459485307551519014e+06,4.096000000000000000e+03,4.845281250000000000e+03,nan,nan,nan
2.485308940537539002e+03,2.459485308940537740e+06,4.096000000000000000e+03,4.870157226562500000e+03,nan,nan,nan
2.485310329555968110e+03,2.459485310329555999e+06,4.096000000000000000e+03,4.845021972656250000e+03,nan,nan,nan
2.485311718574395854e+03,2.459485311718574259e+06,4.096000000000000000e+03,4.869128906250000000e+03,nan,nan,nan
2.485313107592823599e+03,2.459485313107592985e+06,4.096000000000000000e+03,4.849212402343750000e+03,nan,nan,nan
2.485314496611252707e+03,2.459485314496611245e+06,4.096000000000000000e+03,4.856524414062500000e+03,nan,nan,nan
2.485315885629666354e+03,2.459485315885629505e+06,4.096000000000000000e+03,4.871572265625000000e+03,nan,nan,nan
2.485317274648081366e+03,2.459485317274648231e+06,4.096000000000000000e+03,4.855439941406250000e+03,nan,nan,nan
2.485318663666496377e+03,2.459485318663666490e+06,4.096000000000000000e+03,4.867285644531250000e+03,nan,nan,nan
2.485320052684910024e+03,2.459485320052684750e+06,4.096000000000000000e+03,4.860500976562500000e+03,nan,nan,nan
2.485321441703324126e+03,2.459485321441703476e+06,4.096000000000000000e+03,4.877977539062500000e+03,nan,nan,nan
2.485322830721723676e+03,2.459485322830721736e+06,4.096000000000000000e+03,4.830819335937500000e+03,nan,nan,nan
2.485324219740122771e+03,2.459485324219739996e+06,4.096000000000000000e+03,4.844918457031250000e+03,nan,nan,nan
2.485325608758522776e+03,2.459485325608758722e+06,4.096000000000000000e+03,4.846365722656250000e+03,nan,nan,nan
2.485326997776921871e+03,2.459485326997776981e+06,4.096000000000000000e+03,4.843029785156250000e+03,nan,nan,nan
2.485328386795321876e+03,2.459485328386795241e+06,4.096000000000000000e+03,4.825165527343750000e+03,nan,nan,nan
2.485329775813706419e+03,2.459485329775813501e+06,4.096000000000000000e+03,4.841003906250000000e+03,nan,nan,nan
2.485331164832091872e+03,2.459485331164832227e+06,4.096000000000000000e+03,4.852420898437500000e+03,nan,nan,nan
2.485332553850476415e+03,2.459485332553850487e+06,4.096000000000000000e+03,4.857713378906250000e+03,nan,nan,nan
2.485333942868861868e+03,2.459485333942868747e+06,4.096000000000000000e+03,4.878616699218750000e+03,nan,nan,nan
2.485335331887247321e+03,2.459485335331887472e+06,4.096000000000000000e+03,4.862559570312500000e+03,nan,nan,nan
2.485336720905618222e+03,2.459485336720905732e+06,4.096000000000000000e+03,4.864547363281250000e+03,nan,nan,nan
2.485338109923988668e+03,2.459485338109923992e+06,4.096000000000000000e+03,4.854108398437500000e+03,nan,nan,nan
2.485339498942359114e+03,2.459485339498942252e+06,4.096000000000000000e+03,4.863295410156250000e+03,nan,nan,nan
2.485340887960729106e+03,2.459485340887960512e+06,4.096000000000000000e+03,4.849013671875000000e+03,nan,nan,nan
2.485342276979100006e+03,2.459485342276979238e+06,4.096000000000000000e+03,4.858851562500000000e+03,nan,nan,nan
2.485343665997454991e+03,2.459485343665997498e+06,4.096000000000000000e+03,4.851966796875000000e+03,nan,nan,nan
2.485345055015809976e+03,2.459485345055015758e+06,4.096000000000000000e+03,4.861633789062500000e+03,nan,nan,nan
2.485346444034166325e+03,2.459485346444034018e+06,4.096000000000000000e+03,4.862044433593750000e+03,nan,nan,nan
2.485347833052521764e+03,2.459485347833052743e+06,4.096000000000000000e+03,4.856731933593750000e+03,nan,nan,nan
2.485349222070863561e+03,2.459485349222071003e+06,4.096000000000000000e+03,4.849691406250000000e+03,nan,nan,nan
2.485350611089219001e+03,2.459485350611089263e+06,4.096000000000000000e+03,4.883833007812500000e+03,nan,nan,nan
2.485352000107560798e+03,2.459485352000107523e+06,4.096000000000000000e+03,4.893856445312500000e+03,nan,nan,nan
