name,tic,ra_deg,dec_deg,tmag,depth_ppm,duration_h,t0_bjd,disposition,toi_rowupdate,score,rationale,rank
TOI-2817.01,285526706,120.031887,-42.172067,12.1234,10240.0,3.263,2459247.298936,PC,2024-08-22 10:08:01,6957.103967456159,"depth 10240 ppm, duration 3.26 h, Tmag 12.12 → score 6957",853
TOI-7190.01,277499689,268.642503,11.678194,11.854,9275.0,3.103,2460498.570097,PC,2025-04-14 12:03:26,6956.724520797222,"depth 9275 ppm, duration 3.10 h, Tmag 11.85 → score 6957",854
TOI-5324.01,408643099,35.91117,15.482955,13.1886,18460.0,2.676,2459488.483015,PC,2024-08-22 10:08:01,6954.321289995554,"depth 18460 ppm, duration 2.68 h, Tmag 13.19 → score 6954",855
TOI-309.01,228507250,358.039579,-15.80105,12.4154,12845.011488,2.7071868,2459092.738679,PC,2024-04-26 10:08:02,6948.860751267771,"depth 12845 ppm, duration 2.71 h, Tmag 12.42 → score 6949",856
TOI-2649.01,230980206,24.009341,-55.793785,12.4752,11630.0,3.489,2458377.753706,PC,2024-08-22 10:08:01,6948.486202048029,"depth 11630 ppm, duration 3.49 h, Tmag 12.48 → score 6948",857
TOI-7029.01,446166017,183.519002,48.359133,14.8347,58745.0,1.201,2460392.777339,PC,2026-07-15 12:03:17,6947.081787776798,"depth 58745 ppm, duration 1.20 h, Tmag 14.83 → score 6947",858
TOI-3002.01,402053027,136.391768,-50.666102,13.2952,23150.0,1.873,2459303.577592,PC,2024-08-22 10:08:01,6946.721436898981,"depth 23150 ppm, duration 1.87 h, Tmag 13.30 → score 6947",859
TOI-7221.01,110828766,297.606918,2.067149,13.3537,22087.0,2.169,2460530.577486,PC,2025-03-07 12:05:24,6942.669750366134,"depth 22087 ppm, duration 2.17 h, Tmag 13.35 → score 6943",860
TOI-3167.01,411796826,219.168773,-57.009862,12.5526,14080.0,2.545,2459355.198773,PC,2024-08-22 10:08:01,6933.085374149517,"depth 14080 ppm, duration 2.54 h, Tmag 12.55 → score 6933",861
TOI-7834.01,237164114,251.851126,-46.928061,11.2699,8434.9597164,2.1734648,2460851.041502,PC,2026-06-26 12:03:39,6929.139716200533,"depth 8435 ppm, duration 2.17 h, Tmag 11.27 → score 6929",862
TOI-5285.01,250330564,340.969106,-1.83855,12.9354,18080.0,2.188,2459469.314451,PC,2024-09-08 12:03:04,6920.573492600765,"depth 18080 ppm, duration 2.19 h, Tmag 12.94 → score 6921",863
TOI-2700.01,56096837,70.127698,-9.890482,12.0698,11110.0,2.604,2459196.570296,PC,2024-09-01 12:02:56,6911.535592980032,"depth 11110 ppm, duration 2.60 h, Tmag 12.07 → score 6912",864
